Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
2.864, 3.138, 8.787, 18.756, 17.062, 0.000
5.060, 3.020, 6.159, 20.754, 36.417, 0.000
0.118, 8.826, 6.119, 55.260, 0.628, 0.000
-0.196, 9.728, 6.943, 54.473, -0.940, 0.000
-1.569, 10.160, 2.157, 75.288, -8.591, 0.000
-0.353, 9.650, 2.707, 74.206, -2.017, 0.000
-0.471, 9.767, 2.824, 73.662, -2.651, 0.000
0.667, 9.061, 4.354, 64.075, 3.795, 0.000
1.451, 8.944, 4.786, 60.788, 8.143, 0.000
2.550, 7.924, 4.276, 57.860, 15.811, 0.000
4.668, 9.336, 6.041, 50.726, 22.772, 0.000
4.040, 8.983, 3.373, 59.632, 22.834, 0.000
5.923, 7.532, 2.667, 49.221, 36.551, 0.000
7.257, 7.414, 2.589, 43.897, 42.741, 0.000
3.766, 8.669, 2.354, 62.876, 22.744, 0.000
4.550, 9.532, 2.118, 62.231, 24.985, 0.000
2.746, 9.257, 2.118, 69.464, 16.127, 0.000
4.864, 7.375, 4.629, 47.682, 29.190, 0.000
6.865, 4.040, 6.276, 23.479, 42.604, 0.000
7.453, 2.550, 5.766, 15.140, 49.771, 0.000
7.178, 4.001, 6.159, 22.930, 44.346, 0.000
8.708, 6.747, 3.452, 35.763, 48.967, 0.000
7.924, 5.060, 0.667, 32.471, 57.213, 0.000
8.551, 5.688, 0.902, 33.483, 56.042, 0.000
8.355, 5.217, 0.667, 31.900, 57.810, 0.000
8.355, 5.099, 0.157, 31.392, 58.591, 0.000
8.081, 5.178, -0.235, 32.640, 122.678, 0.000
8.591, 5.139, -0.745, 30.792, 121.150, 0.000
7.767, 4.903, -1.216, 31.952, 123.041, 0.000
8.355, 5.923, -3.334, 33.362, 129.129, 0.000
7.610, 5.570, -2.785, 34.504, 129.295, 0.000
7.453, 5.178, -3.334, 32.382, 129.567, 0.000
7.571, 4.903, -3.099, 30.938, 127.458, 0.000
7.453, 4.746, -3.530, 29.922, 128.439, 0.000
7.100, 4.119, -3.099, 27.998, 125.978, 0.000
7.414, 5.217, -4.040, 31.712, 131.671, 0.000
4.746, 4.040, -5.452, 29.201, 145.031, 0.000
7.532, 5.256, -4.746, 30.560, 133.239, 0.000
8.198, 4.982, -4.903, 27.542, 130.451, 0.000
8.198, 5.492, -2.824, 32.347, 126.989, 0.000
5.531, 7.257, 2.275, 50.507, 36.027, 0.000
-3.609, 6.472, 9.493, 32.510, -17.438, 0.000
-2.079, 9.179, 4.943, 59.708, -11.278, 0.000
-5.335, 8.081, 4.276, 49.767, -30.265, 0.000
-8.120, 7.335, 2.981, 40.299, -45.721, 0.000
-5.335, 2.157, -2.667, 19.886, -122.744, 0.000
-7.688, -5.139, -2.197, -32.727, -126.012, 0.000
-10.042, -1.138, -1.334, -6.407, -99.902, 0.000
-7.610, 0.981, -2.707, 6.923, -110.721, 0.000
-9.101, -1.804, -3.060, -10.644, -111.322, 0.000
-7.532, -5.649, -5.335, -31.467, -135.892, 0.000
-9.101, -2.471, -4.354, -13.764, -118.817, 0.000
-8.512, 0.078, -5.217, 0.450, -121.507, 0.000
-8.748, 1.373, -5.806, 7.450, -124.293, 0.000
-7.375, 0.353, -3.609, 2.462, -116.183, 0.000
-8.904, -0.314, -5.649, -1.705, -122.429, 0.000
-8.591, -1.530, -2.981, -9.550, -111.309, 0.000
-8.512, -0.510, -5.923, -2.815, -124.931, 0.000
-8.120, -0.785, -4.433, -4.847, -119.003, 0.000
-7.924, 0.196, -4.276, 1.248, -118.377, 0.000
-8.512, 0.118, -4.511, 0.700, -117.930, 0.000
-8.669, -0.863, -5.099, -4.904, -120.820, 0.000
-8.591, -0.941, -4.393, -5.573, -117.611, 0.000
-9.257, -0.078, -4.040, -0.445, -113.582, 0.000
-6.512, 5.531, -2.550, 38.341, -133.085, 0.000
-7.178, 7.218, -3.373, 42.302, -137.981, 0.000
-6.590, 6.629, -6.002, 36.640, -143.612, 0.000
-6.237, 5.766, -4.472, 36.920, -139.479, 0.000
-6.355, 5.531, -3.962, 36.449, -136.954, 0.000
-3.491, -2.001, -9.022, -11.684, -159.304, 0.000
